lat,lng,Official Name State,Official Name Suburb
-35.30656130840299, 148.0698001995756,New South Wales,Adelong
-35.153200660317786, 147.54143425897382,New South Wales,Alfredtown
-29.472950274915295, 153.35621335797546,New South Wales,Angourie
-34.04066732679613, 149.65737359233714,New South Wales,Arkstone
-34.42253235769806, 150.4963959077288,New South Wales,Aylmerton
-30.62032204032927, 151.29913081907628,New South Wales,Balala
-31.96970785472217, 151.12225022075313,New South Wales,Belltrees
-33.07471147107355, 151.65343456289628,New South Wales,Blacksmiths
-28.70270944987564, 150.18468353095008,New South Wales,Boggabilla
-33.893554034178415, 150.88908790632337,New South Wales,Bonnyrigg
-28.788316496135298, 152.65224029980152,New South Wales,Bottle Creek
-31.930540988337246, 151.8182843301376,New South Wales,Bowman
-35.49007905583847, 150.26390206854262,New South Wales,Brooman
-36.00339116040563, 146.7732310286285,New South Wales,Bungowannah
-32.63217450358199, 149.63644828747925,New South Wales,Burrundulla
-33.41577366912116, 151.22298874369088,New South Wales,Calga
-34.99070538242738, 150.71964515644507,New South Wales,Callala Bay
-36.69788151116051, 149.93283296443087,New South Wales,Chinnock
-33.18308810063914, 149.11655682448244,New South Wales,Clergate
-31.482895896209723, 145.79279055547252,New South Wales,Cobar
-28.498910381190274, 153.33217208368603,New South Wales,Commissioners Creek
-33.919597895615176, 151.25453187733635,New South Wales,Coogee (NSW)
-30.91901147498354, 148.3448550871749,New South Wales,Coonamble
-34.65201133930137, 148.022806388174,New South Wales,Cootamundra
-33.4868679543289, 151.43583272105053,New South Wales,Copacabana
-28.35630743399424, 152.98149401718112,New South Wales,Cougal
-36.440047685121534, 148.51157683289898,New South Wales,Crackenback
-28.38907694136858, 153.51489276275612,New South Wales,Cudgera Creek
-33.28023087353461, 150.00994030610653,New South Wales,Cullen Bullen
-35.25148512410559, 146.46603810185402,New South Wales,Cullivel
-29.644625159086985, 147.6148961905394,New South Wales,Cumborah
-32.102760014721696, 152.4960316018487,New South Wales,Darawank
-34.595606993086434, 145.86629625875315,New South Wales,Darlington Point
-34.18817465951535, 150.71238676272515,New South Wales,Douglas Park
-34.9843860804654, 147.35351668419162,New South Wales,Downside
-28.2733601733812, 153.35925121730344,New South Wales,Dungay
-28.855179790908334, 153.58759822113464,New South Wales,East Ballina
-33.78878445573061, 151.08398126717833,New South Wales,Eastwood (NSW)
-33.36461735999736, 149.55150990974678,New South Wales,Eglinton (NSW)
-33.30206988675151, 149.19584466983014,New South Wales,Emu Swamp
-33.49304897798118, 149.37562477252968,New South Wales,Fitzgeralds Mount
-31.36459252644224, 141.67865429450075,New South Wales,Fowlers Gap
-32.987923850173274, 151.4927905189597,New South Wales,Freemans Waterhole
-31.900836163768464, 148.09153186050006,New South Wales,Gin Gin (NSW)
-32.927942816474044, 151.64829736396945,New South Wales,Glendale (NSW)
-35.82961025109194, 148.62993264810524,New South Wales,Gooandra
-34.91072294431858, 150.73037037723603,New South Wales,Greenwell Point
-33.73117608773946, 150.83822274996095,New South Wales,Hassall Grove
-34.858945713013604, 150.47035734248303,New South Wales,Illaroo
-31.591491919771986, 152.39635616899707,New South Wales,Innes View
-35.68301383613226, 149.58330314374828,New South Wales,Jerrabattgulla
-30.922952003229216, 153.02763673112838,New South Wales,Jerseyville
-31.72829434758132, 152.69931067125748,New South Wales,Johns River
-35.15309483114944, 147.27760329425234,New South Wales,Kapooka
-31.392190735085784, 152.43382732731604,New South Wales,Kindee
-34.66963692062859, 149.68706413436675,New South Wales,Kingsdale
-32.33167852410628, 144.9154633849203,New South Wales,Kulwin (NSW)
-34.34920283395112, 149.56288834668902,New South Wales,Laggan
-34.4842978326821, 150.8670050092664,New South Wales,Lake Heights
-32.961922769736915, 151.64978537904443,New South Wales,Lakelands (NSW)
-35.32180930551852, 149.76894254134618,New South Wales,Larbert
-32.48231849512631, 150.95633475058793,New South Wales,Lemington
-32.73213035666919, 152.02962233109605,New South Wales,Lemon Tree Passage
-28.634420947141145, 152.12011951073617,New South Wales,Liston
-33.482787858696895, 150.15713211932157,New South Wales,Lithgow
-33.3597887073591, 151.4865155308448,New South Wales,Long Jetty
-29.448594269834484, 153.21474928219115,New South Wales,Maclean
-32.951115762821146, 151.64465080269213,New South Wales,Macquarie Hills
-32.53778115151263, 151.09031111825155,New South Wales,Maison Dieu
-33.212502502222506, 148.64849341945757,New South Wales,Manildra
-33.84481551246378, 151.20303450232532,New South Wales,McMahons Point
-32.335499967674835, 149.35779680313658,New South Wales,Mebul
-33.836109680486935, 150.98669815398992,New South Wales,Merrylands
-32.40056147211267, 146.92806019150868,New South Wales,Miamley
-33.45282129498484, 149.1914292937694,New South Wales,Millthorpe
-32.37830859522455, 151.372285986679,New South Wales,Mirannie
-32.07214377778362, 150.7968084200342,New South Wales,Moobi
-29.452751322692787, 152.2479050051016,New South Wales,Moogem
-33.5611744968651, 148.69854958610702,New South Wales,Moorbel
-33.94315460147234, 150.93774787546002,New South Wales,Moorebank
-31.77711529434, 152.6487930985566,New South Wales,Moorland (NSW)
-34.55027793844244, 150.3949845218597,New South Wales,Moss Vale
-28.5004849841049, 153.19408572050946,New South Wales,Mount Burrell
-33.40499125713902, 151.3858810840051,New South Wales,Mount Elliot (NSW)
-32.76322323169496, 145.9089032903319,New South Wales,Mount Hope (NSW)
-33.45115718516877, 149.55258886317768,New South Wales,Mount Panorama
-33.74939971522893, 151.27312619575844,New South Wales,Narraweena
-32.72388005092486, 151.72505418576606,New South Wales,Nelsons Plains
-35.755788701893586, 149.7772680289815,New South Wales,Neringla
-34.508064943929135, 150.33295812461418,New South Wales,New Berrima
-35.23777266795343, 144.30791018545253,New South Wales,Niemur
-28.78623753234905, 153.28349647886725,New South Wales,North Lismore
-29.06018976664437, 153.34679783311745,New South Wales,North Woodburn
-33.253363561829474, 149.07251312426294,New South Wales,Orange
-34.2918313324211, 142.3904410557843,New South Wales,Paringi
-34.11224963192648, 149.43084790822718,New South Wales,Peelwood
-28.892355759861477, 153.4987809698666,New South Wales,Pimlico (NSW)
-35.47161331384456, 146.78571847987783,New South Wales,Pleasant Hills
-31.10236363503323, 148.7403787373182,New South Wales,Quanda
-34.37218465823263, 147.32371339408857,New South Wales,Quandary
-33.42198262375702, 149.65311299955354,New South Wales,Raglan (NSW)
-34.77129244187445, 150.53097065080064,New South Wales,Red Rocks
-33.29337466471996, 151.46965280322766,New South Wales,Rocky Point (NSW)
-30.597067554614274, 151.45901485908527,New South Wales,Rocky River (Uralla - NSW)
-28.668860277034955, 153.3956583974814,New South Wales,Rosebank
-33.49433556839203, 150.87644481139102,New South Wales,Sackville
-33.21464243034171, 151.5210345988438,New South Wales,San Remo (NSW)
-35.294471699065966, 148.0365717209989,New South Wales,Sandy Gully (NSW)
-35.744031451211185, 146.0177205654047,New South Wales,Savernake
-32.77707267587791, 151.44670534220378,New South Wales,Sawyers Gully
-30.711697141350342, 152.99074062937842,New South Wales,Scotts Head
-33.38999406180095, 149.19706981461633,New South Wales,Shadforth (NSW)
-34.57706235907056, 150.86352910421923,New South Wales,Shellharbour
-29.520547180114274, 153.17064393458685,New South Wales,South Arm (Clarence Valley - NSW)
-28.498772394825323, 153.54764392970068,New South Wales,South Golden Beach
-33.49581637870912, 151.34636343991986,New South Wales,St Huberts Island
-32.58326298247553, 151.4087694772664,New South Wales,Stanhope (NSW)
-36.57900030624915, 149.36919195759327,New South Wales,Steeple Flat
-34.37454485462518, 149.7620356588331,New South Wales,Stonequarry
-33.20668947129847, 149.15382384256097,New South Wales,Summer Hill Creek
-34.574989806302156, 150.2627692913527,New South Wales,Sutton Forest
-29.77337341739532, 151.46626729857593,New South Wales,Swan Vale
-28.673540872905214, 153.5551924857393,New South Wales,Talofa
-35.714833274107896, 148.6652692321925,New South Wales,Tantangara
-33.34493543951651, 151.49565890232708,New South Wales,The Entrance
-32.450032054986345, 149.93314028353421,New South Wales,Tichular
-37.303558744673566, 149.72093046571652,New South Wales,Timbillica
-28.705183119743307, 150.6884376763006,New South Wales,Twin Rivers
-32.391274971900465, 149.38385191679967,New South Wales,Two Mile Flat
-35.35715792436959, 150.46115752613628,New South Wales,Ulladulla
-28.27014205788911, 153.30517470702878,New South Wales,Upper Crystal Creek
-34.693276622594915, 150.5931151464384,New South Wales,Upper Kangaroo River
-33.13006960284334, 149.7765543005975,New South Wales,Upper Turon
-30.694420316213943, 148.73061090290145,New South Wales,Urawilkie
-28.459358958630848, 152.50713269974565,New South Wales,Urbenville
-35.55995954800353, 149.28883573178032,New South Wales,Urila
-33.014969598823185, 151.64292554600945,New South Wales,Valentine
-33.22537827374834, 151.46217023310146,New South Wales,Wallarah
-36.57930471288057, 149.97331273839504,New South Wales,Wapengo
-33.85774158299832, 151.1321436087926,New South Wales,Wareemba
-33.89066479279658, 150.59937603951516,New South Wales,Warragamba
-33.72196201159651, 150.61342213666353,New South Wales,Warrimoo
-29.414620581065115, 151.73502883153307,New South Wales,Wellington Vale
-32.97265658377967, 151.7178823490112,New South Wales,Whitebridge
-30.84674839790678, 149.85713788581293,New South Wales,Willala
-33.7563560076501, 150.8806855559351,New South Wales,Woodcroft (NSW)
-29.488369888318115, 153.31559453526262,New South Wales,Wooloweyah
